is_closed,age_of_account,badge_score,posts_with_negative_scores,post_score,accepted_answer_score,comment_score,number_of_urls,number_of_stackoverflow_urls,title_length,body_length,number_of_tags,number_of_short_words
0.0,1458891935345,15.45,2,16,90,3,0,0,46,343,4,35
0.0,1458816503464,0,0,0,0,0,1,0,85,321,2,22
0.0,1458832822881,5.0,1,0,15,0,0,0,40,182,5,13
0.0,1458841477819,8.0,5,5,15,2,0,0,53,4325,1,12
0.0,1458814613582,0,1,-4,0,0,0,0,30,806,3,19
0.0,1458823370785,0,1,-5,0,0,0,0,21,781,3,26
0.0,1458828546069,4.0,1,-1,0,0,1,0,39,223,3,6
0.0,1458844220555,5.0,1,0,0,0,0,0,85,1739,4,19
0.0,1458824068496,3.0,0,0,0,0,1,0,52,248,5,13
0.0,1458911735034,26.477777777777778,3,51,120,7,0,0,59,1665,5,117
1.0,1458826683341,18.583333333333332,1,88,90,2,0,0,32,1533,5,86
1.0,1458868926455,11.0,1,29,60,1,0,0,62,1562,4,60
1.0,1458901164541,18.333333333333332,0,61,180,6,0,0,40,603,2,16
1.0,1458943928844,26.680555555555557,2,103,165,8,0,0,39,858,3,56
1.0,1458862041381,12.0,0,26,105,6,1,0,46,1784,1,79
1.0,1458956543836,10.5,0,17,30,2,1,0,51,2443,2,80
1.0,1458823464014,0,0,0,0,0,0,0,54,15239,2,332
1.0,1458903658798,12.666666666666666,0,75,15,1,0,0,39,442,2,25
1.0,1458831958477,1.0,0,0,0,0,0,0,46,555,4,27
1.0,1458824446733,12.5,0,12,120,8,0,0,59,1372,3,84
